"table","variable","code","label","note","type"
"collision","local_authority_district","343","Gedling",,"character"
"collision","local_authority_district","344","Mansfield",,"character"
"collision","local_authority_district","345","Newark and Sherwood",,"character"
"collision","local_authority_district","346","Nottingham",,"character"
"collision","local_authority_district","347","Rushcliffe",,"character"
"collision","local_authority_district","350","Boston",,"character"
"collision","local_authority_district","351","East Lindsey",,"character"
"collision","local_authority_district","352","Lincoln",,"character"
"collision","local_authority_district","353","North Kesteven",,"character"
"collision","local_authority_district","354","South Holland",,"character"
"collision","local_authority_district","355","South Kesteven",,"character"
"collision","local_authority_district","356","West Lindsey",,"character"
"collision","local_authority_district","360","Blaby",,"character"
"collision","local_authority_district","361","Hinckley and Bosworth",,"character"
"collision","local_authority_district","362","Charnwood",,"character"
"collision","local_authority_district","363","Harborough",,"character"
"collision","local_authority_district","364","Leicester",,"character"
"collision","local_authority_district","365","Melton",,"character"
"collision","local_authority_district","366","North West Leicestershire",,"character"
"collision","local_authority_district","367","Oadby and Wigston",,"character"
"collision","local_authority_district","368","Rutland",,"character"
"collision","local_authority_district","380","Corby",,"character"
"collision","local_authority_district","381","Daventry",,"character"
"collision","local_authority_district","382","East Northamptonshire",,"character"
"collision","local_authority_district","383","Kettering",,"character"
"collision","local_authority_district","384","Northampton",,"character"
"collision","local_authority_district","385","South Northamptonshire",,"character"
"collision","local_authority_district","386","Wellingborough",,"character"
"collision","local_authority_district","390","Cambridge",,"character"
"collision","local_authority_district","391","East Cambridgeshire",,"character"
"collision","local_authority_district","392","Fenland",,"character"
"collision","local_authority_district","393","Huntingdonshire",,"character"
"collision","local_authority_district","394","Peterborough",,"character"
"collision","local_authority_district","395","South Cambridgeshire",,"character"
"collision","local_authority_district","400","Breckland",,"character"
"collision","local_authority_district","401","Broadland",,"character"
"collision","local_authority_district","402","Great Yarmouth",,"character"
"collision","local_authority_district","404","Norwich",,"character"
"collision","local_authority_district","405","North Norfolk",,"character"
"collision","local_authority_district","406","South Norfolk",,"character"
"collision","local_authority_district","407","King's Lynn and West Norfolk",,"character"
"collision","local_authority_district","410","Babergh",,"character"
"collision","local_authority_district","411","Forest Heath",,"character"
"collision","local_authority_district","412","Ipswich",,"character"
"collision","local_authority_district","413","Mid Suffolk",,"character"
"collision","local_authority_district","414","St. Edmundsbury",,"character"
"collision","local_authority_district","415","Suffolk Coastal",,"character"
"collision","local_authority_district","416","Waveney",,"character"
"collision","local_authority_district","420","Bedford",,"character"
"collision","local_authority_district","421","Luton",,"character"
"collision","local_authority_district","422","Mid Bedfordshire",,"character"
"collision","local_authority_district","423","South Bedfordshire",,"character"
"collision","local_authority_district","424","Central Bedfordshire",,"character"
"collision","local_authority_district","430","Broxbourne",,"character"
"collision","local_authority_district","431","Dacorum",,"character"
"collision","local_authority_district","432","East Hertfordshire",,"character"
"collision","local_authority_district","433","North Hertfordshire",,"character"
"collision","local_authority_district","434","St. Albans",,"character"
"collision","local_authority_district","435","Stevenage",,"character"
"collision","local_authority_district","436","Three Rivers",,"character"
"collision","local_authority_district","437","Watford",,"character"
"collision","local_authority_district","438","Welwyn Hatfield",,"character"
"collision","local_authority_district","450","Basildon",,"character"
